index,split,dialect_region,speaker_id,filename,path_from_data_dir,path_from_data_dir_windows
2.0,train,DR4,MMDM0,SI1311.PHN,TRAIN/DR4/MMDM0/SI1311.PHN,TRAIN\\DR4\\MMDM0\\SI1311.PHN
4.0,train,DR4,MMDM0,SX321.PHN,TRAIN/DR4/MMDM0/SX321.PHN,TRAIN\\DR4\\MMDM0\\SX321.PHN
9.0,train,DR4,MMDM0,SX51.PHN,TRAIN/DR4/MMDM0/SX51.PHN,TRAIN\\DR4\\MMDM0\\SX51.PHN
13.0,train,DR4,MMDM0,SX231.PHN,TRAIN/DR4/MMDM0/SX231.PHN,TRAIN\\DR4\\MMDM0\\SX231.PHN
19.0,train,DR4,MMDM0,SX141.PHN,TRAIN/DR4/MMDM0/SX141.PHN,TRAIN\\DR4\\MMDM0\\SX141.PHN
21.0,train,DR4,MMDM0,SI1941.PHN,TRAIN/DR4/MMDM0/SI1941.PHN,TRAIN\\DR4\\MMDM0\\SI1941.PHN
32.0,train,DR4,MMDM0,SA2.PHN,TRAIN/DR4/MMDM0/SA2.PHN,TRAIN\\DR4\\MMDM0\\SA2.PHN
35.0,train,DR4,MMDM0,SX411.PHN,TRAIN/DR4/MMDM0/SX411.PHN,TRAIN\\DR4\\MMDM0\\SX411.PHN
40.0,train,DR4,MMDM0,SA1.PHN,TRAIN/DR4/MMDM0/SA1.PHN,TRAIN\\DR4\\MMDM0\\SA1.PHN
48.0,train,DR4,MMDM0,SI681.PHN,TRAIN/DR4/MMDM0/SI681.PHN,TRAIN\\DR4\\MMDM0\\SI681.PHN
55.0,train,DR4,MCSS0,SX30.PHN,TRAIN/DR4/MCSS0/SX30.PHN,TRAIN\\DR4\\MCSS0\\SX30.PHN
59.0,train,DR4,MCSS0,SX120.PHN,TRAIN/DR4/MCSS0/SX120.PHN,TRAIN\\DR4\\MCSS0\\SX120.PHN
60.0,train,DR4,MCSS0,SI688.PHN,TRAIN/DR4/MCSS0/SI688.PHN,TRAIN\\DR4\\MCSS0\\SI688.PHN
67.0,train,DR4,MCSS0,SX390.PHN,TRAIN/DR4/MCSS0/SX390.PHN,TRAIN\\DR4\\MCSS0\\SX390.PHN
77.0,train,DR4,MCSS0,SI750.PHN,TRAIN/DR4/MCSS0/SI750.PHN,TRAIN\\DR4\\MCSS0\\SI750.PHN
82.0,train,DR4,MCSS0,SX210.PHN,TRAIN/DR4/MCSS0/SX210.PHN,TRAIN\\DR4\\MCSS0\\SX210.PHN
85.0,train,DR4,MCSS0,SA2.PHN,TRAIN/DR4/MCSS0/SA2.PHN,TRAIN\\DR4\\MCSS0\\SA2.PHN
87.0,train,DR4,MCSS0,SI1380.PHN,TRAIN/DR4/MCSS0/SI1380.PHN,TRAIN\\DR4\\MCSS0\\SI1380.PHN
90.0,train,DR4,MCSS0,SA1.PHN,TRAIN/DR4/MCSS0/SA1.PHN,TRAIN\\DR4\\MCSS0\\SA1.PHN
95.0,train,DR4,MCSS0,SX300.PHN,TRAIN/DR4/MCSS0/SX300.PHN,TRAIN\\DR4\\MCSS0\\SX300.PHN
107.0,train,DR4,MCDR0,SX254.PHN,TRAIN/DR4/MCDR0/SX254.PHN,TRAIN\\DR4\\MCDR0\\SX254.PHN
110.0,train,DR4,MCDR0,SX344.PHN,TRAIN/DR4/MCDR0/SX344.PHN,TRAIN\\DR4\\MCDR0\\SX344.PHN
114.0,train,DR4,MCDR0,SX434.PHN,TRAIN/DR4/MCDR0/SX434.PHN,TRAIN\\DR4\\MCDR0\\SX434.PHN
130.0,train,DR4,MCDR0,SX164.PHN,TRAIN/DR4/MCDR0/SX164.PHN,TRAIN\\DR4\\MCDR0\\SX164.PHN
135.0,train,DR4,MCDR0,SA2.PHN,TRAIN/DR4/MCDR0/SA2.PHN,TRAIN\\DR4\\MCDR0\\SA2.PHN
136.0,train,DR4,MCDR0,SI1154.PHN,TRAIN/DR4/MCDR0/SI1154.PHN,TRAIN\\DR4\\MCDR0\\SI1154.PHN
139.0,train,DR4,MCDR0,SI1784.PHN,TRAIN/DR4/MCDR0/SI1784.PHN,TRAIN\\DR4\\MCDR0\\SI1784.PHN
142.0,train,DR4,MCDR0,SA1.PHN,TRAIN/DR4/MCDR0/SA1.PHN,TRAIN\\DR4\\MCDR0\\SA1.PHN
144.0,train,DR4,MCDR0,SX74.PHN,TRAIN/DR4/MCDR0/SX74.PHN,TRAIN\\DR4\\MCDR0\\SX74.PHN
147.0,train,DR4,MCDR0,SI524.PHN,TRAIN/DR4/MCDR0/SI524.PHN,TRAIN\\DR4\\MCDR0\\SI524.PHN
155.0,train,DR4,MLEL0,SX256.PHN,TRAIN/DR4/MLEL0/SX256.PHN,TRAIN\\DR4\\MLEL0\\SX256.PHN
161.0,train,DR4,MLEL0,SX436.PHN,TRAIN/DR4/MLEL0/SX436.PHN,TRAIN\\DR4\\MLEL0\\SX436.PHN
166.0,train,DR4,MLEL0,SX346.PHN,TRAIN/DR4/MLEL0/SX346.PHN,TRAIN\\DR4\\MLEL0\\SX346.PHN
171.0,train,DR4,MLEL0,SI616.PHN,TRAIN/DR4/MLEL0/SI616.PHN,TRAIN\\DR4\\MLEL0\\SI616.PHN
180.0,train,DR4,MLEL0,SX166.PHN,TRAIN/DR4/MLEL0/SX166.PHN,TRAIN\\DR4\\MLEL0\\SX166.PHN
184.0,train,DR4,MLEL0,SX76.PHN,TRAIN/DR4/MLEL0/SX76.PHN,TRAIN\\DR4\\MLEL0\\SX76.PHN
186.0,train,DR4,MLEL0,SA2.PHN,TRAIN/DR4/MLEL0/SA2.PHN,TRAIN\\DR4\\MLEL0\\SA2.PHN
191.0,train,DR4,MLEL0,SA1.PHN,TRAIN/DR4/MLEL0/SA1.PHN,TRAIN\\DR4\\MLEL0\\SA1.PHN
194.0,train,DR4,MLEL0,SI1246.PHN,TRAIN/DR4/MLEL0/SI1246.PHN,TRAIN\\DR4\\MLEL0\\SI1246.PHN
196.0,train,DR4,MLEL0,SI1876.PHN,TRAIN/DR4/MLEL0/SI1876.PHN,TRAIN\\DR4\\MLEL0\\SI1876.PHN
201.0,train,DR4,FEEH0,SX32.PHN,TRAIN/DR4/FEEH0/SX32.PHN,TRAIN\\DR4\\FEEH0\\SX32.PHN
204.0,train,DR4,FEEH0,SI471.PHN,TRAIN/DR4/FEEH0/SI471.PHN,TRAIN\\DR4\\FEEH0\\SI471.PHN
208.0,train,DR4,FEEH0,SI1112.PHN,TRAIN/DR4/FEEH0/SI1112.PHN,TRAIN\\DR4\\FEEH0\\SI1112.PHN
211.0,train,DR4,FEEH0,SX122.PHN,TRAIN/DR4/FEEH0/SX122.PHN,TRAIN\\DR4\\FEEH0\\SX122.PHN
216.0,train,DR4,FEEH0,SX392.PHN,TRAIN/DR4/FEEH0/SX392.PHN,TRAIN\\DR4\\FEEH0\\SX392.PHN
228.0,train,DR4,FEEH0,SX212.PHN,TRAIN/DR4/FEEH0/SX212.PHN,TRAIN\\DR4\\FEEH0\\SX212.PHN
232.0,train,DR4,FEEH0,SI1742.PHN,TRAIN/DR4/FEEH0/SI1742.PHN,TRAIN\\DR4\\FEEH0\\SI1742.PHN
233.0,train,DR4,FEEH0,SA2.PHN,TRAIN/DR4/FEEH0/SA2.PHN,TRAIN\\DR4\\FEEH0\\SA2.PHN
236.0,train,DR4,FEEH0,SA1.PHN,TRAIN/DR4/FEEH0/SA1.PHN,TRAIN\\DR4\\FEEH0\\SA1.PHN
250.0,train,DR4,FEEH0,SX302.PHN,TRAIN/DR4/FEEH0/SX302.PHN,TRAIN\\DR4\\FEEH0\\SX302.PHN
251.0,train,DR4,MFWK0,SI1879.PHN,TRAIN/DR4/MFWK0/SI1879.PHN,TRAIN\\DR4\\MFWK0\\SI1879.PHN
256.0,train,DR4,MFWK0,SI1249.PHN,TRAIN/DR4/MFWK0/SI1249.PHN,TRAIN\\DR4\\MFWK0\\SI1249.PHN
257.0,train,DR4,MFWK0,SX79.PHN,TRAIN/DR4/MFWK0/SX79.PHN,TRAIN\\DR4\\MFWK0\\SX79.PHN
266.0,train,DR4,MFWK0,SX169.PHN,TRAIN/DR4/MFWK0/SX169.PHN,TRAIN\\DR4\\MFWK0\\SX169.PHN
275.0,train,DR4,MFWK0,SI619.PHN,TRAIN/DR4/MFWK0/SI619.PHN,TRAIN\\DR4\\MFWK0\\SI619.PHN
279.0,train,DR4,MFWK0,SA2.PHN,TRAIN/DR4/MFWK0/SA2.PHN,TRAIN\\DR4\\MFWK0\\SA2.PHN
281.0,train,DR4,MFWK0,SX439.PHN,TRAIN/DR4/MFWK0/SX439.PHN,TRAIN\\DR4\\MFWK0\\SX439.PHN
286.0,train,DR4,MFWK0,SA1.PHN,TRAIN/DR4/MFWK0/SA1.PHN,TRAIN\\DR4\\MFWK0\\SA1.PHN
288.0,train,DR4,MFWK0,SX349.PHN,TRAIN/DR4/MFWK0/SX349.PHN,TRAIN\\DR4\\MFWK0\\SX349.PHN
292.0,train,DR4,MFWK0,SX259.PHN,TRAIN/DR4/MFWK0/SX259.PHN,TRAIN\\DR4\\MFWK0\\SX259.PHN
302.0,train,DR4,MKAM0,SX326.PHN,TRAIN/DR4/MKAM0/SX326.PHN,TRAIN\\DR4\\MKAM0\\SX326.PHN
306.0,train,DR4,MKAM0,SI1465.PHN,TRAIN/DR4/MKAM0/SI1465.PHN,TRAIN\\DR4\\MKAM0\\SI1465.PHN
308.0,train,DR4,MKAM0,SI1316.PHN,TRAIN/DR4/MKAM0/SI1316.PHN,TRAIN\\DR4\\MKAM0\\SI1316.PHN
311.0,train,DR4,MKAM0,SX146.PHN,TRAIN/DR4/MKAM0/SX146.PHN,TRAIN\\DR4\\MKAM0\\SX146.PHN
314.0,train,DR4,MKAM0,SX236.PHN,TRAIN/DR4/MKAM0/SX236.PHN,TRAIN\\DR4\\MKAM0\\SX236.PHN
319.0,train,DR4,MKAM0,SX56.PHN,TRAIN/DR4/MKAM0/SX56.PHN,TRAIN\\DR4\\MKAM0\\SX56.PHN
324.0,train,DR4,MKAM0,SX416.PHN,TRAIN/DR4/MKAM0/SX416.PHN,TRAIN\\DR4\\MKAM0\\SX416.PHN
328.0,train,DR4,MKAM0,SA2.PHN,TRAIN/DR4/MKAM0/SA2.PHN,TRAIN\\DR4\\MKAM0\\SA2.PHN
334.0,train,DR4,MKAM0,SA1.PHN,TRAIN/DR4/MKAM0/SA1.PHN,TRAIN\\DR4\\MKAM0\\SA1.PHN
342.0,train,DR4,MKAM0,SI1250.PHN,TRAIN/DR4/MKAM0/SI1250.PHN,TRAIN\\DR4\\MKAM0\\SI1250.PHN
354.0,train,DR4,MSMS0,SX443.PHN,TRAIN/DR4/MSMS0/SX443.PHN,TRAIN\\DR4\\MSMS0\\SX443.PHN
361.0,train,DR4,MSMS0,SX353.PHN,TRAIN/DR4/MSMS0/SX353.PHN,TRAIN\\DR4\\MSMS0\\SX353.PHN
370.0,train,DR4,MSMS0,SX83.PHN,TRAIN/DR4/MSMS0/SX83.PHN,TRAIN\\DR4\\MSMS0\\SX83.PHN
375.0,train,DR4,MSMS0,SI2063.PHN,TRAIN/DR4/MSMS0/SI2063.PHN,TRAIN\\DR4\\MSMS0\\SI2063.PHN
376.0,train,DR4,MSMS0,SX173.PHN,TRAIN/DR4/MSMS0/SX173.PHN,TRAIN\\DR4\\MSMS0\\SX173.PHN
377.0,train,DR4,MSMS0,SI803.PHN,TRAIN/DR4/MSMS0/SI803.PHN,TRAIN\\DR4\\MSMS0\\SI803.PHN
386.0,train,DR4,MSMS0,SA2.PHN,TRAIN/DR4/MSMS0/SA2.PHN,TRAIN\\DR4\\MSMS0\\SA2.PHN
390.0,train,DR4,MSMS0,SA1.PHN,TRAIN/DR4/MSMS0/SA1.PHN,TRAIN\\DR4\\MSMS0\\SA1.PHN
391.0,train,DR4,MSMS0,SI1433.PHN,TRAIN/DR4/MSMS0/SI1433.PHN,TRAIN\\DR4\\MSMS0\\SI1433.PHN
399.0,train,DR4,MSMS0,SX263.PHN,TRAIN/DR4/MSMS0/SX263.PHN,TRAIN\\DR4\\MSMS0\\SX263.PHN
403.0,train,DR4,MGJC0,SX255.PHN,TRAIN/DR4/MGJC0/SX255.PHN,TRAIN\\DR4\\MGJC0\\SX255.PHN
416.0,train,DR4,MGJC0,SX345.PHN,TRAIN/DR4/MGJC0/SX345.PHN,TRAIN\\DR4\\MGJC0\\SX345.PHN
420.0,train,DR4,MGJC0,SX435.PHN,TRAIN/DR4/MGJC0/SX435.PHN,TRAIN\\DR4\\MGJC0\\SX435.PHN
433.0,train,DR4,MGJC0,SX165.PHN,TRAIN/DR4/MGJC0/SX165.PHN,TRAIN\\DR4\\MGJC0\\SX165.PHN
435.0,train,DR4,MGJC0,SI1965.PHN,TRAIN/DR4/MGJC0/SI1965.PHN,TRAIN\\DR4\\MGJC0\\SI1965.PHN
436.0,train,DR4,MGJC0,SA2.PHN,TRAIN/DR4/MGJC0/SA2.PHN,TRAIN\\DR4\\MGJC0\\SA2.PHN
438.0,train,DR4,MGJC0,SX75.PHN,TRAIN/DR4/MGJC0/SX75.PHN,TRAIN\\DR4\\MGJC0\\SX75.PHN
440.0,train,DR4,MGJC0,SA1.PHN,TRAIN/DR4/MGJC0/SA1.PHN,TRAIN\\DR4\\MGJC0\\SA1.PHN
445.0,train,DR4,MGJC0,SI1335.PHN,TRAIN/DR4/MGJC0/SI1335.PHN,TRAIN\\DR4\\MGJC0\\SI1335.PHN
448.0,train,DR4,MGJC0,SI1256.PHN,TRAIN/DR4/MGJC0/SI1256.PHN,TRAIN\\DR4\\MGJC0\\SI1256.PHN
455.0,train,DR4,FLKM0,SX440.PHN,TRAIN/DR4/FLKM0/SX440.PHN,TRAIN\\DR4\\FLKM0\\SX440.PHN
459.0,train,DR4,FLKM0,SI1880.PHN,TRAIN/DR4/FLKM0/SI1880.PHN,TRAIN\\DR4\\FLKM0\\SI1880.PHN
465.0,train,DR4,FLKM0,SX350.PHN,TRAIN/DR4/FLKM0/SX350.PHN,TRAIN\\DR4\\FLKM0\\SX350.PHN
467.0,train,DR4,FLKM0,SX80.PHN,TRAIN/DR4/FLKM0/SX80.PHN,TRAIN\\DR4\\FLKM0\\SX80.PHN
480.0,train,DR4,FLKM0,SA2.PHN,TRAIN/DR4/FLKM0/SA2.PHN,TRAIN\\DR4\\FLKM0\\SA2.PHN
484.0,train,DR4,FLKM0,SA1.PHN,TRAIN/DR4/FLKM0/SA1.PHN,TRAIN\\DR4\\FLKM0\\SA1.PHN
486.0,train,DR4,FLKM0,SI620.PHN,TRAIN/DR4/FLKM0/SI620.PHN,TRAIN\\DR4\\FLKM0\\SI620.PHN
492.0,train,DR4,FLKM0,SI686.PHN,TRAIN/DR4/FLKM0/SI686.PHN,TRAIN\\DR4\\FLKM0\\SI686.PHN
493.0,train,DR4,FLKM0,SX260.PHN,TRAIN/DR4/FLKM0/SX260.PHN,TRAIN\\DR4\\FLKM0\\SX260.PHN
494.0,train,DR4,FLKM0,SX116.PHN,TRAIN/DR4/FLKM0/SX116.PHN,TRAIN\\DR4\\FLKM0\\SX116.PHN
502.0,train,DR4,MMGC0,SI1305.PHN,TRAIN/DR4/MMGC0/SI1305.PHN,TRAIN\\DR4\\MMGC0\\SI1305.PHN
505.0,train,DR4,MMGC0,SI2184.PHN,TRAIN/DR4/MMGC0/SI2184.PHN,TRAIN\\DR4\\MMGC0\\SI2184.PHN
512.0,train,DR4,MMGC0,SX135.PHN,TRAIN/DR4/MMGC0/SX135.PHN,TRAIN\\DR4\\MMGC0\\SX135.PHN
513.0,train,DR4,MMGC0,SI1935.PHN,TRAIN/DR4/MMGC0/SI1935.PHN,TRAIN\\DR4\\MMGC0\\SI1935.PHN
515.0,train,DR4,MMGC0,SX45.PHN,TRAIN/DR4/MMGC0/SX45.PHN,TRAIN\\DR4\\MMGC0\\SX45.PHN
516.0,train,DR4,MMGC0,SX225.PHN,TRAIN/DR4/MMGC0/SX225.PHN,TRAIN\\DR4\\MMGC0\\SX225.PHN
529.0,train,DR4,MMGC0,SA2.PHN,TRAIN/DR4/MMGC0/SA2.PHN,TRAIN\\DR4\\MMGC0\\SA2.PHN
530.0,train,DR4,MMGC0,SX405.PHN,TRAIN/DR4/MMGC0/SX405.PHN,TRAIN\\DR4\\MMGC0\\SX405.PHN
535.0,train,DR4,MMGC0,SA1.PHN,TRAIN/DR4/MMGC0/SA1.PHN,TRAIN\\DR4\\MMGC0\\SA1.PHN
545.0,train,DR4,MMGC0,SX315.PHN,TRAIN/DR4/MMGC0/SX315.PHN,TRAIN\\DR4\\MMGC0\\SX315.PHN
555.0,train,DR4,MJXL0,SX452.PHN,TRAIN/DR4/MJXL0/SX452.PHN,TRAIN\\DR4\\MJXL0\\SX452.PHN
556.0,train,DR4,MJXL0,SX92.PHN,TRAIN/DR4/MJXL0/SX92.PHN,TRAIN\\DR4\\MJXL0\\SX92.PHN
559.0,train,DR4,MJXL0,SI1172.PHN,TRAIN/DR4/MJXL0/SI1172.PHN,TRAIN\\DR4\\MJXL0\\SI1172.PHN
568.0,train,DR4,MJXL0,SX182.PHN,TRAIN/DR4/MJXL0/SX182.PHN,TRAIN\\DR4\\MJXL0\\SX182.PHN
581.0,train,DR4,MJXL0,SI1795.PHN,TRAIN/DR4/MJXL0/SI1795.PHN,TRAIN\\DR4\\MJXL0\\SI1795.PHN
583.0,train,DR4,MJXL0,SA2.PHN,TRAIN/DR4/MJXL0/SA2.PHN,TRAIN\\DR4\\MJXL0\\SA2.PHN
585.0,train,DR4,MJXL0,SX362.PHN,TRAIN/DR4/MJXL0/SX362.PHN,TRAIN\\DR4\\MJXL0\\SX362.PHN
590.0,train,DR4,MJXL0,SA1.PHN,TRAIN/DR4/MJXL0/SA1.PHN,TRAIN\\DR4\\MJXL0\\SA1.PHN
591.0,train,DR4,MJXL0,SI542.PHN,TRAIN/DR4/MJXL0/SI542.PHN,TRAIN\\DR4\\MJXL0\\SI542.PHN
593.0,train,DR4,MJXL0,SX272.PHN,TRAIN/DR4/MJXL0/SX272.PHN,TRAIN\\DR4\\MJXL0\\SX272.PHN
602.0,train,DR4,MMBS0,SX251.PHN,TRAIN/DR4/MMBS0/SX251.PHN,TRAIN\\DR4\\MMBS0\\SX251.PHN
613.0,train,DR4,MMBS0,SX431.PHN,TRAIN/DR4/MMBS0/SX431.PHN,TRAIN\\DR4\\MMBS0\\SX431.PHN
618.0,train,DR4,MMBS0,SX341.PHN,TRAIN/DR4/MMBS0/SX341.PHN,TRAIN\\DR4\\MMBS0\\SX341.PHN
625.0,train,DR4,MMBS0,SX71.PHN,TRAIN/DR4/MMBS0/SX71.PHN,TRAIN\\DR4\\MMBS0\\SX71.PHN
627.0,train,DR4,MMBS0,SI1151.PHN,TRAIN/DR4/MMBS0/SI1151.PHN,TRAIN\\DR4\\MMBS0\\SI1151.PHN
629.0,train,DR4,MMBS0,SI1781.PHN,TRAIN/DR4/MMBS0/SI1781.PHN,TRAIN\\DR4\\MMBS0\\SI1781.PHN
631.0,train,DR4,MMBS0,SA2.PHN,TRAIN/DR4/MMBS0/SA2.PHN,TRAIN\\DR4\\MMBS0\\SA2.PHN
632.0,train,DR4,MMBS0,SX161.PHN,TRAIN/DR4/MMBS0/SX161.PHN,TRAIN\\DR4\\MMBS0\\SX161.PHN
638.0,train,DR4,MMBS0,SA1.PHN,TRAIN/DR4/MMBS0/SA1.PHN,TRAIN\\DR4\\MMBS0\\SA1.PHN
649.0,train,DR4,MMBS0,SI521.PHN,TRAIN/DR4/MMBS0/SI521.PHN,TRAIN\\DR4\\MMBS0\\SI521.PHN
659.0,train,DR4,MTQC0,SX451.PHN,TRAIN/DR4/MTQC0/SX451.PHN,TRAIN\\DR4\\MTQC0\\SX451.PHN
662.0,train,DR4,MTQC0,SX91.PHN,TRAIN/DR4/MTQC0/SX91.PHN,TRAIN\\DR4\\MTQC0\\SX91.PHN
675.0,train,DR4,MTQC0,SX181.PHN,TRAIN/DR4/MTQC0/SX181.PHN,TRAIN\\DR4\\MTQC0\\SX181.PHN
680.0,train,DR4,MTQC0,SI2071.PHN,TRAIN/DR4/MTQC0/SI2071.PHN,TRAIN\\DR4\\MTQC0\\SI2071.PHN
681.0,train,DR4,MTQC0,SA2.PHN,TRAIN/DR4/MTQC0/SA2.PHN,TRAIN\\DR4\\MTQC0\\SA2.PHN
687.0,train,DR4,MTQC0,SA1.PHN,TRAIN/DR4/MTQC0/SA1.PHN,TRAIN\\DR4\\MTQC0\\SA1.PHN
689.0,train,DR4,MTQC0,SX361.PHN,TRAIN/DR4/MTQC0/SX361.PHN,TRAIN\\DR4\\MTQC0\\SX361.PHN
692.0,train,DR4,MTQC0,SI1441.PHN,TRAIN/DR4/MTQC0/SI1441.PHN,TRAIN\\DR4\\MTQC0\\SI1441.PHN
694.0,train,DR4,MTQC0,SX271.PHN,TRAIN/DR4/MTQC0/SX271.PHN,TRAIN\\DR4\\MTQC0\\SX271.PHN
698.0,train,DR4,MTQC0,SI480.PHN,TRAIN/DR4/MTQC0/SI480.PHN,TRAIN\\DR4\\MTQC0\\SI480.PHN
708.0,train,DR4,MBWP0,SX79.PHN,TRAIN/DR4/MBWP0/SX79.PHN,TRAIN\\DR4\\MBWP0\\SX79.PHN
715.0,train,DR4,MBWP0,SX169.PHN,TRAIN/DR4/MBWP0/SX169.PHN,TRAIN\\DR4\\MBWP0\\SX169.PHN
717.0,train,DR4,MBWP0,SI1969.PHN,TRAIN/DR4/MBWP0/SI1969.PHN,TRAIN\\DR4\\MBWP0\\SI1969.PHN
725.0,train,DR4,MBWP0,SA2.PHN,TRAIN/DR4/MBWP0/SA2.PHN,TRAIN\\DR4\\MBWP0\\SA2.PHN
728.0,train,DR4,MBWP0,SX439.PHN,TRAIN/DR4/MBWP0/SX439.PHN,TRAIN\\DR4\\MBWP0\\SX439.PHN
734.0,train,DR4,MBWP0,SA1.PHN,TRAIN/DR4/MBWP0/SA1.PHN,TRAIN\\DR4\\MBWP0\\SA1.PHN
737.0,train,DR4,MBWP0,SX349.PHN,TRAIN/DR4/MBWP0/SX349.PHN,TRAIN\\DR4\\MBWP0\\SX349.PHN
741.0,train,DR4,MBWP0,SX259.PHN,TRAIN/DR4/MBWP0/SX259.PHN,TRAIN\\DR4\\MBWP0\\SX259.PHN
744.0,train,DR4,MBWP0,SI709.PHN,TRAIN/DR4/MBWP0/SI709.PHN,TRAIN\\DR4\\MBWP0\\SI709.PHN
750.0,train,DR4,MBWP0,SI1531.PHN,TRAIN/DR4/MBWP0/SI1531.PHN,TRAIN\\DR4\\MBWP0\\SI1531.PHN
754.0,train,DR4,MFRM0,SI1717.PHN,TRAIN/DR4/MFRM0/SI1717.PHN,TRAIN\\DR4\\MFRM0\\SI1717.PHN
755.0,train,DR4,MFRM0,SX255.PHN,TRAIN/DR4/MFRM0/SX255.PHN,TRAIN\\DR4\\MFRM0\\SX255.PHN
